"Year","Month","Day","Extent","Missing","hemisphere"
2009,9,10,18.907,0,"south"
2009,9,11,18.905,0,"south"
2009,9,12,18.903,0,"south"
2009,9,13,18.921,0,"south"
2009,9,14,18.868,0,"south"
2009,9,15,18.867,0,"south"
2009,9,16,18.936,0,"south"
2009,9,17,18.978,0,"south"
2009,9,18,19.004,0,"south"
2009,9,19,19.107,0,"south"
2009,9,20,19.154,0,"south"
2009,9,21,19.202,0,"south"
2009,9,22,19.218,0,"south"
2009,9,23,19.256,0,"south"
2009,9,24,19.299,0,"south"
2009,9,25,19.272,0,"south"
2009,9,26,19.209,0,"south"
2009,9,27,19.11,0,"south"
2009,9,28,19.04,0,"south"
2009,9,29,18.891,0,"south"
2009,9,30,18.901,0,"south"
2009,10,1,18.857,0,"south"
2009,10,2,18.849,0,"south"
2009,10,3,18.853,0,"south"
2009,10,4,18.932,0,"south"
2009,10,5,18.842,0,"south"
2009,10,6,18.773,0,"south"
2009,10,7,18.69,0,"south"
2009,10,8,18.643,0,"south"
2009,10,9,18.624,0,"south"
2009,10,10,18.561,0,"south"
2009,10,11,18.511,0,"south"
2009,10,12,18.551,0,"south"
2009,10,13,18.467,0,"south"
2009,10,14,18.396,0,"south"
2009,10,15,18.347,0,"south"
2009,10,16,18.256,0,"south"
2009,10,17,18.223,0,"south"
2009,10,18,18.24,0,"south"
2009,10,19,18.164,0,"south"
2009,10,20,18.162,0,"south"
2009,10,21,18.143,0,"south"
2009,10,22,18.064,0,"south"
2009,10,23,18.012,0,"south"
2009,10,24,18.011,0,"south"
2009,10,25,17.995,0,"south"
2009,10,26,17.858,0,"south"
2009,10,27,17.74,0,"south"
2009,10,28,17.672,0,"south"
2009,10,29,17.638,0,"south"
2009,10,30,17.657,0,"south"
2009,10,31,17.514,0,"south"
2009,11,1,17.381,0,"south"
2009,11,2,17.3,0,"south"
2009,11,3,17.197,0,"south"
2009,11,4,17.079,0,"south"
2009,11,5,17.01,0,"south"
2009,11,6,16.93,0,"south"
2009,11,7,16.865,0,"south"
2009,11,8,16.765,0,"south"
2009,11,9,16.648,0,"south"
2009,11,10,16.554,0,"south"
2009,11,11,16.531,0,"south"
2009,11,12,16.467,0,"south"
2009,11,13,16.309,0,"south"
2009,11,14,16.208,0,"south"
2009,11,15,16.052,0,"south"
2009,11,16,15.956,0,"south"
2009,11,17,15.805,0,"south"
2009,11,18,15.654,0,"south"
2009,11,19,15.527,0,"south"
2009,11,20,15.359,0,"south"
2009,11,21,15.193,0,"south"
2009,11,22,15.079,0,"south"
2009,11,23,15.037,0,"south"
2009,11,24,14.855,0,"south"
2009,11,25,14.656,0,"south"
2009,11,26,14.506,0,"south"
2009,11,27,14.383,0,"south"
2009,11,28,14.217,0,"south"
2009,11,29,14.029,0,"south"
2009,11,30,13.883,0,"south"
2009,12,1,13.664,0,"south"
2009,12,2,13.492,0,"south"
2009,12,3,13.296,0,"south"
2009,12,4,13.173,0,"south"
2009,12,5,12.95,0,"south"
2009,12,6,12.747,0,"south"
2009,12,7,12.498,0,"south"
2009,12,8,12.31,0,"south"
2009,12,9,12.077,0,"south"
2009,12,10,11.858,0,"south"
2009,12,11,11.739,0,"south"
2009,12,12,11.569,0,"south"
2009,12,13,11.34,0,"south"
2009,12,14,11.208,0,"south"
2009,12,15,11.11,0,"south"
2009,12,16,10.839,0,"south"
2009,12,17,10.537,0,"south"
2009,12,18,10.257,0,"south"
2009,12,19,10.045,0,"south"
2009,12,20,9.931,0,"south"
2009,12,21,9.766,0,"south"
2009,12,22,9.581,0,"south"
2009,12,23,9.343,0,"south"
2009,12,24,9.175,0,"south"
2009,12,25,8.984,0,"south"
2009,12,26,8.76,0,"south"
2009,12,27,8.558,0,"south"
2009,12,28,8.404,0,"south"
2009,12,29,8.219,0,"south"
2009,12,30,7.871,0,"south"
2009,12,31,7.594,0,"south"
